Cidade,Estado,Populacao_milhoes,PIB_metropolitano_bilhoes_R,Preco_m2_medio_R,Posicao_ranking_consumo_nordeste
Salvador,Bahia,2.9,89.5,6766,1
Recife,Pernambuco,1.7,67.2,8089,3
