Estado,PIB_2021_bilhoes_R,Populacao_2022_milhoes,PIB_per_capita_R,Participacao_PIB_Nordeste
Bahia,352.618,14.9,23663,24.8
Pernambuco,220.814,9.6,23001,15.5
Ceará,194.885,9.2,21204,13.7
Rio Grande do Norte,80.181,3.3,24297,5.6
Paraíba,77.47,4.1,18895,5.4
Maranhão,124.981,7.1,17599,8.8
Alagoas,76.266,3.4,22431,5.4
Sergipe,51.861,2.3,22548,3.6
Piauí,64.028,3.3,19403,4.5
